year,county,state,county_name,income,perc_change,est_mortgage,income_needed,actual_needed_diff,actual_needed_ratio
 2021,Alachua,FL,"Alachua, FL",52367,7,1393,59700,-7333,0.88
 2019,Alamance,NC,"Alamance, NC",41493,0,1156,49543,-8050,0.84
 2020,Alamance,NC,"Alamance, NC",44418,7,1185,50786,-6368,0.87
 2021,Alamance,NC,"Alamance, NC",48118,8,1432,61371,-13253,0.78
 2019,Alameda,CA,"Alameda, CA",80623,0,3858,165343,-84720,0.49
 2020,Alameda,CA,"Alameda, CA",88841,10,3964,169886,-81045,0.52
 2021,Alameda,CA,"Alameda, CA",99746,12,3950,169286,-69540,0.59
 2019,Alamosa,CO,"Alamosa, CO",38025,0,1037,44443,-6418,0.86
 2020,Alamosa,CO,"Alamosa, CO",41152,8,1188,50914,-9762,0.81
 2021,Alamosa,CO,"Alamosa, CO",44507,8,1350,57857,-13350,0.77
 2019,Albany,NY,"Albany, NY",62495,0,1443,61843,652,1.01
 2020,Albany,NY,"Albany, NY",67115,7,1325,56786,10329,1.18
 2021,Albany,NY,"Albany, NY",70947,6,1348,57771,13176,1.23
 2019,Albany,WY,"Albany, WY",42955,0,1345,57643,-14688,0.75
 2020,Albany,WY,"Albany, WY",46056,7,1436,61543,-15487,0.75
 2021,Albany,WY,"Albany, WY",48528,5,1919,82243,-33715,0.59
 2019,Alcona,MI,"Alcona, MI",41782,0,611,26186,15596,1.6
 2020,Alcona,MI,"Alcona, MI",46504,11,692,29657,16847,1.57
 2021,Alcona,MI,"Alcona, MI",49262,6,806,34543,14719,1.43
 2019,Alcorn,MS,"Alcorn, MS",38576,0,755,32357,6219,1.19
 2020,Alcorn,MS,"Alcorn, MS",41396,7,790,33857,7539,1.22
 2021,Alcorn,MS,"Alcorn, MS",44255,7,941,40329,3926,1.1
 2019,Aleutians East,AK,"Aleutians East, AK",60712,0,1318,56486,4226,1.07
 2020,Aleutians East,AK,"Aleutians East, AK",57605,-5,1102,47229,10376,1.22
 2021,Aleutians East,AK,"Aleutians East, AK",60174,5,1175,50357,9817,1.19
 2019,Aleutians West,AK,"Aleutians West, AK",60610,0,799,34243,26367,1.77
 2020,Aleutians West,AK,"Aleutians West, AK",63509,5,767,32871,30638,1.93
 2019,Alfalfa,OK,"Alfalfa, OK",38514,0,311,13329,25185,2.89
 2020,Alfalfa,OK,"Alfalfa, OK",40128,4,450,19286,20842,2.08
 2021,Alfalfa,OK,"Alfalfa, OK",43695,9,424,18171,25524,2.4
 2019,Alger,MI,"Alger, MI",35126,0,778,33343,1783,1.05
 2020,Alger,MI,"Alger, MI",39479,12,721,30900,8579,1.28
 2021,Alger,MI,"Alger, MI",42171,7,698,29914,12257,1.41
 2019,Allamakee,IA,"Allamakee, IA",47182,0,678,29057,18125,1.62
 2020,Allamakee,IA,"Allamakee, IA",49538,5,638,27343,22195,1.81
 2021,Allamakee,IA,"Allamakee, IA",53807,9,1011,43329,10478,1.24
 2019,Allegan,MI,"Allegan, MI",46130,0,1498,64200,-18070,0.72
 2020,Allegan,MI,"Allegan, MI",50402,9,1526,65400,-14998,0.77
 2021,Allegan,MI,"Allegan, MI",53375,6,1923,82414,-29039,0.65
 2019,Allegany,MD,"Allegany, MD",41720,0,520,22286,19434,1.87
 2020,Allegany,MD,"Allegany, MD",45070,8,491,21043,24027,2.14
 2021,Allegany,MD,"Allegany, MD",47347,5,553,23700,23647,2
 2019,Allegany,NY,"Allegany, NY",36813,0,414,17743,19070,2.07
 2020,Allegany,NY,"Allegany, NY",40558,10,403,17271,23287,2.35
 2021,Allegany,NY,"Allegany, NY",42569,5,601,25757,16812,1.65
 2019,Alleghany,NC,"Alleghany, NC",40046,0,486,20829,19217,1.92
 2020,Alleghany,NC,"Alleghany, NC",42648,7,1141,48900,-6252,0.87
 2021,Alleghany,NC,"Alleghany, NC",45206,6,1854,79457,-34251,0.57
 2019,Allegheny,PA,"Allegheny, PA",63478,0,950,40714,22764,1.56
 2020,Allegheny,PA,"Allegheny, PA",66702,5,1114,47743,18959,1.4
 2021,Allegheny,PA,"Allegheny, PA",70580,6,1114,47743,22837,1.48
 2019,Allen,IN,"Allen, IN",47398,0,988,42343,5055,1.12
 2020,Allen,IN,"Allen, IN",50640,7,1129,48386,2254,1.05
 2021,Allen,IN,"Allen, IN",54681,8,1119,47957,6724,1.14
 2019,Allen,KS,"Allen, KS",42470,0,377,16157,26313,2.63
 2020,Allen,KS,"Allen, KS",45635,8,381,16329,29306,2.79
 2021,Allen,KS,"Allen, KS",49326,8,717,30729,18597,1.61
 2019,Allen,KY,"Allen, KY",34703,0,771,33043,1660,1.05
 2020,Allen,KY,"Allen, KY",37077,7,1016,43543,-6466,0.85
 2021,Allen,KY,"Allen, KY",40682,10,1024,43886,-3204,0.93
 2019,Allen,LA,"Allen, LA",38723,0,707,30300,8423,1.28
 2020,Allen,LA,"Allen, LA",41335,7,555,23786,17549,1.74
 2021,Allen,LA,"Allen, LA",42949,4,490,21000,21949,2.05
 2019,Allen,OH,"Allen, OH",43618,0,616,26400,17218,1.65
 2020,Allen,OH,"Allen, OH",47314,9,613,26271,21043,1.8
 2021,Allen,OH,"Allen, OH",50353,6,427,18300,32053,2.75
 2019,Allendale,SC,"Allendale, SC",34309,0,533,22843,11466,1.5
 2020,Allendale,SC,"Allendale, SC",39852,16,613,26271,13581,1.52
 2021,Allendale,SC,"Allendale, SC",41814,5,517,22157,19657,1.89
 2019,Alpena,MI,"Alpena, MI",40817,0,573,24557,16260,1.66
 2020,Alpena,MI,"Alpena, MI",45497,12,618,26486,19011,1.72
 2021,Alpena,MI,"Alpena, MI",48428,6,671,28757,19671,1.68
 2019,Alpine,CA,"Alpine, CA",80225,0,1969,84386,-4161,0.95
 2020,Alpine,CA,"Alpine, CA",75220,-6,1851,79329,-4109,0.95
 2021,Alpine,CA,"Alpine, CA",72734,-3,1146,49114,23620,1.48
 2019,Amador,CA,"Amador, CA",44121,0,1867,80014,-35893,0.55
 2020,Amador,CA,"Amador, CA",47790,8,2009,86100,-38310,0.56
 2021,Amador,CA,"Amador, CA",49752,4,2337,100157,-50405,0.5
 2019,Amelia,VA,"Amelia, VA",43703,0,1435,61500,-17797,0.71
 2020,Amelia,VA,"Amelia, VA",46379,6,1461,62614,-16235,0.74
 2021,Amelia,VA,"Amelia, VA",50973,10,1613,69129,-18156,0.74
 2019,Amherst,VA,"Amherst, VA",38200,0,462,19800,18400,1.93
 2020,Amherst,VA,"Amherst, VA",41218,8,929,39814,1404,1.04
 2021,Amherst,VA,"Amherst, VA",44051,7,1237,53014,-8963,0.83
 2019,Amite,MS,"Amite, MS",33523,0,677,29014,4509,1.16
 2020,Amite,MS,"Amite, MS",35618,6,554,23743,11875,1.5
 2021,Amite,MS,"Amite, MS",39407,11,1762,75514,-36107,0.52
 2019,Anchorage,AK,"Anchorage, AK",67317,0,1551,66471,846,1.01
 2020,Anchorage,AK,"Anchorage, AK",68815,2,1611,69043,-228,1
 2021,Anchorage,AK,"Anchorage, AK",72032,5,1682,72086,-54,1
 2019,Anderson,KS,"Anderson, KS",39916,0,441,18900,21016,2.11
 2020,Anderson,KS,"Anderson, KS",45567,14,556,23829,21738,1.91
 2021,Anderson,KS,"Anderson, KS",52810,16,548,23486,29324,2.25
 2019,Anderson,KY,"Anderson, KY",39315,0,862,36943,2372,1.06
 2020,Anderson,KY,"Anderson, KY",42309,8,998,42771,-462,0.99
 2021,Anderson,KY,"Anderson, KY",45331,7,1112,47657,-2326,0.95
 2019,Anderson,SC,"Anderson, SC",41621,0,1050,45000,-3379,0.92
 2020,Anderson,SC,"Anderson, SC",43933,6,1106,47400,-3467,0.93
 2021,Anderson,SC,"Anderson, SC",46894,7,1358,58200,-11306,0.81
 2019,Anderson,TN,"Anderson, TN",44090,0,1095,46929,-2839,0.94
 2020,Anderson,TN,"Anderson, TN",47198,7,1055,45214,1984,1.04
 2021,Anderson,TN,"Anderson, TN",50901,8,1331,57043,-6142,0.89
 2019,Anderson,TX,"Anderson, TX",36532,0,806,34543,1989,1.06
 2020,Anderson,TX,"Anderson, TX",38898,7,750,32143,6755,1.21
 2021,Anderson,TX,"Anderson, TX",42444,9,958,41057,1387,1.03
 2019,Andrew,MO,"Andrew, MO",44650,0,1051,45043,-393,0.99
 2020,Andrew,MO,"Andrew, MO",47612,7,1081,46329,1283,1.03
 2021,Andrew,MO,"Andrew, MO",50693,7,915,39214,11479,1.29
 2019,Andrews,TX,"Andrews, TX",53300,0,1118,47914,5386,1.11
 2020,Andrews,TX,"Andrews, TX",49329,-8,1101,47186,2143,1.05
 2021,Andrews,TX,"Andrews, TX",52943,7,1231,52757,186,1
 2019,Androscoggin,ME,"Androscoggin, ME",42075,0,915,39214,2861,1.07
 2020,Androscoggin,ME,"Androscoggin, ME",46144,10,1134,48600,-2456,0.95
 2021,Androscoggin,ME,"Androscoggin, ME",49766,8,1291,55329,-5563,0.9
 2019,Angelina,TX,"Angelina, TX",40417,0,889,38100,2317,1.06
 2020,Angelina,TX,"Angelina, TX",42691,6,1007,43157,-466,0.99
 2021,Angelina,TX,"Angelina, TX",46170,8,1281,54900,-8730,0.84
 2019,Anne Arundel,MD,"Anne Arundel, MD",68225,0,2057,88157,-19932,0.77
 2020,Anne Arundel,MD,"Anne Arundel, MD",72003,6,2203,94414,-22411,0.76
 2021,Anne Arundel,MD,"Anne Arundel, MD",76059,6,2150,92143,-16084,0.83
 2019,Anoka,MN,"Anoka, MN",52820,0,1758,75343,-22523,0.7
 2020,Anoka,MN,"Anoka, MN",56014,6,1670,71571,-15557,0.78
 2021,Anoka,MN,"Anoka, MN",59397,6,1741,74614,-15217,0.8
 2019,Anson,NC,"Anson, NC",40616,0,585,25071,15545,1.62
 2020,Anson,NC,"Anson, NC",42055,4,378,16200,25855,2.6
 2021,Anson,NC,"Anson, NC",47744,14,688,29486,18258,1.62
 2019,Antelope,NE,"Antelope, NE",57774,0,345,14786,42988,3.91
 2020,Antelope,NE,"Antelope, NE",71488,24,607,26014,45474,2.75
 2021,Antelope,NE,"Antelope, NE",74129,4,733,31414,42715,2.36
 2019,Antrim,MI,"Antrim, MI",49163,0,1114,47743,1420,1.03
 2020,Antrim,MI,"Antrim, MI",53579,9,1300,55714,-2135,0.96
 2021,Antrim,MI,"Antrim, MI",55759,4,1659,71100,-15341,0.78
 2019,Apache,AZ,"Apache, AZ",36803,0,1181,50614,-13811,0.73
 2020,Apache,AZ,"Apache, AZ",42196,15,1367,58586,-16390,0.72
 2021,Apache,AZ,"Apache, AZ",45671,8,1943,83271,-37600,0.55
 2019,Appanoose,IA,"Appanoose, IA",39600,0,428,18343,21257,2.16
 2020,Appanoose,IA,"Appanoose, IA",43053,9,490,21000,22053,2.05
 2021,Appanoose,IA,"Appanoose, IA",46396,8,610,26143,20253,1.77
 2019,Appling,GA,"Appling, GA",35398,0,758,32486,2912,1.09
 2020,Appling,GA,"Appling, GA",38878,10,846,36257,2621,1.07
 2021,Appling,GA,"Appling, GA",41863,8,1055,45214,-3351,0.93
 2019,Appomattox,VA,"Appomattox, VA",39235,0,489,20957,18278,1.87
 2020,Appomattox,VA,"Appomattox, VA",41944,7,904,38743,3201,1.08
 2021,Appomattox,VA,"Appomattox, VA",44943,7,1166,49971,-5028,0.9
 2019,Aransas,TX,"Aransas, TX",55184,0,1329,56957,-1773,0.97
 2020,Aransas,TX,"Aransas, TX",56433,2,1443,61843,-5410,0.91
 2021,Aransas,TX,"Aransas, TX",59878,6,1974,84600,-24722,0.71
 2019,Arapahoe,CO,"Arapahoe, CO",65322,0,2155,92357,-27035,0.71
 2020,Arapahoe,CO,"Arapahoe, CO",68630,5,2313,99129,-30499,0.69
 2021,Arapahoe,CO,"Arapahoe, CO",74267,8,2562,109800,-35533,0.68
 2019,Archer,TX,"Archer, TX",54894,0,1165,49929,4965,1.1
 2020,Archer,TX,"Archer, TX",57669,5,721,30900,26769,1.87
 2021,Archer,TX,"Archer, TX",60101,4,1555,66643,-6542,0.9
 2019,Archuleta,CO,"Archuleta, CO",46973,0,2464,105600,-58627,0.44
 2020,Archuleta,CO,"Archuleta, CO",50527,8,2365,101357,-50830,0.5
 2021,Archuleta,CO,"Archuleta, CO",52312,4,4094,175457,-123145,0.3
 2019,Arenac,MI,"Arenac, MI",39779,0,540,23143,16636,1.72
 2020,Arenac,MI,"Arenac, MI",44841,13,620,26571,18270,1.69
 2021,Arenac,MI,"Arenac, MI",47470,6,845,36214,11256,1.31
 2019,Arkansas,AR,"Arkansas, AR",46906,0,542,23229,23677,2.02
 2020,Arkansas,AR,"Arkansas, AR",52609,12,607,26014,26595,2.02
 2021,Arkansas,AR,"Arkansas, AR",56733,8,300,12857,43876,4.41
 2019,Arlington,VA,"Arlington, VA",97629,0,4076,174686,-77057,0.56
 2020,Arlington,VA,"Arlington, VA",100687,3,4516,193543,-92856,0.52
 2021,Arlington,VA,"Arlington, VA",107603,7,2525,108214,-611,0.99
 2019,Armstrong,PA,"Armstrong, PA",46020,0,433,18557,27463,2.48
 2020,Armstrong,PA,"Armstrong, PA",50598,10,590,25286,25312,2
 2021,Armstrong,PA,"Armstrong, PA",54198,7,543,23271,30927,2.33
 2019,Armstrong,TX,"Armstrong, TX",55506,0,461,19757,35749,2.81
 2020,Armstrong,TX,"Armstrong, TX",58244,5,535,22929,35315,2.54
 2021,Armstrong,TX,"Armstrong, TX",61382,5,1113,47700,13682,1.29
 2019,Aroostook,ME,"Aroostook, ME",42725,0,519,22243,20482,1.92
 2020,Aroostook,ME,"Aroostook, ME",47070,10,517,22157,24913,2.12
 2021,Aroostook,ME,"Aroostook, ME",49883,6,789,33814,16069,1.48
 2019,Ascension,LA,"Ascension, LA",52409,0,1308,56057,-3648,0.93
 2020,Ascension,LA,"Ascension, LA",55067,5,1314,56314,-1247,0.98
 2021,Ascension,LA,"Ascension, LA",58566,6,1736,74400,-15834,0.79
 2019,Ashe,NC,"Ashe, NC",38065,0,434,18600,19465,2.05
 2020,Ashe,NC,"Ashe, NC",41284,9,1535,65786,-24502,0.63
 2021,Ashe,NC,"Ashe, NC",44203,7,2000,85714,-41511,0.52
 2019,Ashley,AR,"Ashley, AR",38172,0,505,21643,16529,1.76
 2020,Ashley,AR,"Ashley, AR",40395,6,585,25071,15324,1.61
 2021,Ashley,AR,"Ashley, AR",42844,6,448,19200,23644,2.23
 2019,Ashtabula,OH,"Ashtabula, OH",39535,0,588,25200,14335,1.57
 2020,Ashtabula,OH,"Ashtabula, OH",43074,9,655,28071,15003,1.53
 2021,Ashtabula,OH,"Ashtabula, OH",46280,7,711,30471,15809,1.52
 2019,Asotin,WA,"Asotin, WA",48040,0,1270,54429,-6389,0.88
 2020,Asotin,WA,"Asotin, WA",51453,7,1238,53057,-1604,0.97
 2021,Asotin,WA,"Asotin, WA",55564,8,1791,76757,-21193,0.72
 2019,Assumption,LA,"Assumption, LA",50156,0,951,40757,9399,1.23
 2020,Assumption,LA,"Assumption, LA",52452,5,925,39643,12809,1.32
 2021,Assumption,LA,"Assumption, LA",56352,7,1218,52200,4152,1.08
 2019,Atascosa,TX,"Atascosa, TX",40588,0,1094,46886,-6298,0.87
 2020,Atascosa,TX,"Atascosa, TX",43238,7,1122,48086,-4848,0.9
 2021,Atascosa,TX,"Atascosa, TX",46737,8,1215,52071,-5334,0.9
 2019,Atchison,KS,"Atchison, KS",38631,0,365,15643,22988,2.47
 2020,Atchison,KS,"Atchison, KS",42396,10,373,15986,26410,2.65
 2021,Atchison,KS,"Atchison, KS",44710,6,514,22029,22681,2.03
 2019,Atchison,MO,"Atchison, MO",44786,0,415,17786,27000,2.52
 2020,Atchison,MO,"Atchison, MO",49644,11,372,15943,33701,3.11
 2021,Atchison,MO,"Atchison, MO",54179,9,650,27857,26322,1.94
 2019,Athens,OH,"Athens, OH",35910,0,882,37800,-1890,0.95
 2020,Athens,OH,"Athens, OH",38491,7,827,35443,3048,1.09
 2021,Athens,OH,"Athens, OH",40663,6,842,36086,4577,1.13
 2019,Atkinson,GA,"Atkinson, GA",30314,0,1890,81000,-50686,0.37
 2020,Atkinson,GA,"Atkinson, GA",32402,7,1523,65271,-32869,0.5
 2021,Atkinson,GA,"Atkinson, GA",35527,10,1256,53829,-18302,0.66
 2019,Atlantic,NJ,"Atlantic, NJ",50196,0,1185,50786,-590,0.99
 2020,Atlantic,NJ,"Atlantic, NJ",55273,10,1193,51129,4144,1.08
 2021,Atlantic,NJ,"Atlantic, NJ",58310,6,1403,60129,-1819,0.97
 2019,Atoka,OK,"Atoka, OK",32373,0,1003,42986,-10613,0.75
 2020,Atoka,OK,"Atoka, OK",34326,6,763,32700,1626,1.05
 2021,Atoka,OK,"Atoka, OK",36195,5,1279,54814,-18619,0.66
 2019,Attala,MS,"Attala, MS",35013,0,497,21300,13713,1.64
 2020,Attala,MS,"Attala, MS",39450,13,500,21429,18021,1.84
 2021,Attala,MS,"Attala, MS",42044,7,525,22500,19544,1.87
 2019,Audrain,MO,"Audrain, MO",37613,0,441,18900,18713,1.99
 2020,Audrain,MO,"Audrain, MO",41328,10,421,18043,23285,2.29
 2021,Audrain,MO,"Audrain, MO",44319,7,497,21300,23019,2.08
 2019,Audubon,IA,"Audubon, IA",50982,0,382,16371,34611,3.11
 2020,Audubon,IA,"Audubon, IA",53279,5,427,18300,34979,2.91
 2021,Audubon,IA,"Audubon, IA",62773,18,703,30129,32644,2.08
 2019,Auglaize,OH,"Auglaize, OH",47864,0,770,33000,14864,1.45
 2020,Auglaize,OH,"Auglaize, OH",51426,7,765,32786,18640,1.57
 2021,Auglaize,OH,"Auglaize, OH",54964,7,775,33214,21750,1.65
 2019,Aurora,SD,"Aurora, SD",40181,0,744,31886,8295,1.26
 2020,Aurora,SD,"Aurora, SD",48166,20,602,25800,22366,1.87
 2021,Aurora,SD,"Aurora, SD",54512,13,740,31714,22798,1.72
 2019,Austin,TX,"Austin, TX",53854,0,1279,54814,-960,0.98
 2020,Austin,TX,"Austin, TX",55151,2,1272,54514,637,1.01
 2021,Austin,TX,"Austin, TX",58284,6,1856,79543,-21259,0.73
 2019,Autauga,AL,"Autauga, AL",42846,0,983,42129,717,1.02
 2020,Autauga,AL,"Autauga, AL",45248,6,1105,47357,-2109,0.96
 2021,Autauga,AL,"Autauga, AL",48347,7,1401,60043,-11696,0.81
 2019,Avery,NC,"Avery, NC",37300,0,891,38186,-886,0.98
 2020,Avery,NC,"Avery, NC",40197,8,2100,90000,-49803,0.45
 2021,Avery,NC,"Avery, NC",43022,7,2917,125014,-81992,0.34
 2019,Avoyelles,LA,"Avoyelles, LA",38845,0,583,24986,13859,1.55
 2020,Avoyelles,LA,"Avoyelles, LA",42588,10,466,19971,22617,2.13
 2021,Avoyelles,LA,"Avoyelles, LA",45777,8,690,29571,16206,1.55
 2019,Baca,CO,"Baca, CO",39990,0,406,17400,22590,2.3
 2020,Baca,CO,"Baca, CO",46142,15,368,15771,30371,2.93
 2021,Baca,CO,"Baca, CO",52905,15,576,24686,28219,2.14
 2019,Bacon,GA,"Bacon, GA",32699,0,731,31329,1370,1.04
 2020,Bacon,GA,"Bacon, GA",37802,16,639,27386,10416,1.38
 2021,Bacon,GA,"Bacon, GA",39471,4,2030,87000,-47529,0.45
 2019,Bailey,TX,"Bailey, TX",44309,0,557,23871,20438,1.86
 2020,Bailey,TX,"Bailey, TX",49655,12,850,36429,13226,1.36
 2021,Bailey,TX,"Bailey, TX",51709,4,863,36986,14723,1.4
 2019,Baker,FL,"Baker, FL",35058,0,1131,48471,-13413,0.72
 2020,Baker,FL,"Baker, FL",37403,7,1122,48086,-10683,0.78
 2021,Baker,FL,"Baker, FL",40735,9,1437,61586,-20851,0.66
 2019,Baker,GA,"Baker, GA",41675,0,730,31286,10389,1.33
 2020,Baker,GA,"Baker, GA",45195,8,416,17829,27366,2.53
 2021,Baker,GA,"Baker, GA",51216,13,576,24686,26530,2.07
 2019,Baker,OR,"Baker, OR",41127,0,1075,46071,-4944,0.89
 2020,Baker,OR,"Baker, OR",44857,9,1059,45386,-529,0.99
 2021,Baker,OR,"Baker, OR",48107,7,1677,71871,-23764,0.67
 2019,Baldwin,AL,"Baldwin, AL",48380,0,1572,67371,-18991,0.72
 2020,Baldwin,AL,"Baldwin, AL",51348,6,1664,71314,-19966,0.72
 2021,Baldwin,AL,"Baldwin, AL",54659,6,2053,87986,-33327,0.62
 2019,Baldwin,GA,"Baldwin, GA",34954,0,941,40329,-5375,0.87
 2020,Baldwin,GA,"Baldwin, GA",37833,8,1098,47057,-9224,0.8
 2021,Baldwin,GA,"Baldwin, GA",40542,7,863,36986,3556,1.1
 2019,Ballard,KY,"Ballard, KY",41576,0,463,19843,21733,2.1
 2020,Ballard,KY,"Ballard, KY",45690,10,317,13586,32104,3.36
 2021,Ballard,KY,"Ballard, KY",50888,11,335,14357,36531,3.54
 2019,Baltimore City,MD,"Baltimore City, MD",50073,0,792,33943,16130,1.48
 2020,Baltimore City,MD,"Baltimore City, MD",54153,8,807,34586,19567,1.57
 2021,Baltimore City,MD,"Baltimore City, MD",58556,8,945,40500,18056,1.45
 2019,Baltimore,MD,"Baltimore, MD",61459,0,1354,58029,3430,1.06
 2020,Baltimore,MD,"Baltimore, MD",65502,7,1447,62014,3488,1.06
 2021,Baltimore,MD,"Baltimore, MD",69561,6,1563,66986,2575,1.04
 2019,Bamberg,SC,"Bamberg, SC",36074,0,558,23914,12160,1.51
 2020,Bamberg,SC,"Bamberg, SC",38795,8,445,19071,19724,2.03
 2021,Bamberg,SC,"Bamberg, SC",41081,6,880,37714,3367,1.09
 2019,Banks,GA,"Banks, GA",38328,0,1201,51471,-13143,0.74
 2020,Banks,GA,"Banks, GA",40087,5,1369,58671,-18584,0.68
 2021,Banks,GA,"Banks, GA",43766,9,1839,78814,-35048,0.56
 2019,Banner,NE,"Banner, NE",58969,0,414,17743,41226,3.32
 2020,Banner,NE,"Banner, NE",61329,4,1895,81214,-19885,0.76
 2021,Banner,NE,"Banner, NE",68909,12,52954,2269457,-2200548,0.03
 2019,Bannock,ID,"Bannock, ID",39307,0,1070,45857,-6550,0.86
 2020,Bannock,ID,"Bannock, ID",42596,8,1296,55543,-12947,0.77
 2021,Bannock,ID,"Bannock, ID",45443,7,1789,76671,-31228,0.59
 2019,Baraga,MI,"Baraga, MI",34669,0,590,25286,9383,1.37
 2020,Baraga,MI,"Baraga, MI",39616,14,731,31329,8287,1.26
